,images,cancerous,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0_L_MLO,1,253,253,253,250,106,0,0,7,16,0,255,255,255,255,201,4,0,2,4,0,255,255,255,255,255,117,0,0,0,0,255,255,255,255,255,250,84,0,0,0,255,255,255,255,255,255,235,38,0,0,255,255,255,255,255,255,255,139,0,0,255,255,255,255,255,255,255,165,0,0,255,255,255,255,255,255,255,87,0,0,107,160,215,245,252,229,115,1,0,0,18,0,10,44,59,26,0,0,0,0
1,0_R_MLO,1,1,17,8,0,0,88,249,253,253,253,0,4,2,0,1,186,255,255,255,255,0,0,0,0,105,255,255,255,255,255,0,0,0,55,244,255,255,255,255,255,0,0,7,199,255,255,255,255,255,255,0,0,56,255,255,255,255,255,255,255,0,0,64,255,255,255,255,255,255,255,0,0,10,186,255,255,255,255,255,253,0,0,0,15,133,210,227,205,138,55,0,0,0,0,0,7,18,4,0,0
2,0_L_CC,1,19,0,0,0,0,0,0,3,13,0,227,194,133,61,4,0,0,1,3,0,255,255,255,255,200,70,0,0,0,0,255,255,255,255,255,248,85,0,0,0,255,255,255,255,255,255,225,15,0,0,255,255,255,255,255,255,255,47,0,0,255,255,255,255,255,255,235,22,0,0,255,255,255,255,255,248,100,0,0,0,255,255,249,219,156,55,0,0,0,0,169,103,53,13,0,0,0,0,0,0
3,0_R_CC,1,0,15,4,0,0,0,0,0,47,158,0,3,1,0,0,0,22,131,238,255,0,0,0,0,5,112,226,255,255,255,0,0,0,16,178,255,255,255,255,255,0,0,0,152,255,255,255,255,255,255,0,0,13,231,255,255,255,255,255,255,0,0,5,200,255,255,255,255,255,255,0,0,0,61,234,255,255,255,255,255,0,0,0,0,40,144,205,230,240,243,0,0,0,0,0,0,4,22,34,39
4,1_R_CC,1,0,0,0,0,6,9,0,0,0,0,0,0,0,0,27,39,0,0,0,24,0,0,0,0,0,0,0,10,128,231,0,0,0,0,0,0,32,193,255,255,0,0,0,0,0,17,207,255,255,255,0,0,0,0,0,59,255,255,255,255,0,0,0,0,0,6,173,255,255,255,0,0,0,0,0,0,16,179,255,255,0,0,0,0,0,0,0,6,112,203,0,0,0,0,0,0,0,0,0,4
5,1_R_MLO,1,0,0,0,0,12,5,178,249,249,249,0,0,0,1,53,21,142,255,255,255,0,0,0,0,0,0,96,255,255,255,0,0,0,0,0,0,124,255,255,255,0,0,0,0,0,9,211,255,255,255,0,0,0,0,0,81,255,255,255,255,0,0,0,0,0,146,255,255,255,255,0,0,0,0,0,95,248,255,255,255,0,0,0,0,0,0,57,156,200,232,0,0,0,0,0,0,0,0,1,33
6,1_L_MLO,1,249,249,249,226,22,12,0,0,0,0,255,255,255,186,23,51,0,0,0,0,255,255,255,132,0,0,0,0,0,0,255,255,255,159,0,0,0,0,0,0,255,255,255,229,17,0,0,0,0,0,255,255,255,255,81,0,0,0,0,0,255,255,255,255,133,0,0,0,0,0,255,255,255,254,109,0,0,0,0,0,239,219,174,73,2,0,0,0,0,0,40,12,0,0,0,0,0,0,0,0
7,1_L_CC,1,38,0,0,0,3,11,0,0,0,0,235,130,11,0,15,46,0,0,0,0,255,255,187,21,0,0,0,0,0,0,255,255,255,197,20,0,0,0,0,0,255,255,255,255,146,0,0,0,0,0,255,255,255,255,109,0,0,0,0,0,255,255,255,158,6,0,0,0,0,0,255,233,120,3,0,0,0,0,0,0,78,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2_R_CC,0,0,0,0,0,9,7,0,0,28,149,0,0,0,0,38,29,0,60,218,255,0,0,0,0,0,0,37,233,255,255,0,0,0,0,0,0,172,255,255,255,0,0,0,0,0,70,255,255,255,255,0,0,0,0,0,39,231,255,255,255,0,0,0,0,0,0,99,255,255,255,0,0,0,0,0,0,1,126,247,255,0,0,0,0,0,0,0,0,49,125,0,0,0,0,0,0,0,0,0,0
9,2_R_MLO,0,0,0,0,1,12,112,249,249,249,249,0,0,0,3,54,77,254,255,255,255,0,0,0,0,0,68,255,255,255,255,0,0,0,0,0,127,255,255,255,255,0,0,0,0,0,164,255,255,255,255,0,0,0,0,0,166,255,255,255,255,0,0,0,0,0,109,253,255,255,255,0,0,0,0,0,0,101,244,255,255,0,0,0,0,0,0,0,51,154,231,0,0,0,0,0,0,0,0,0,146
10,2_L_MLO,0,249,249,249,235,26,10,7,0,0,0,255,255,255,249,38,45,30,0,0,0,255,255,255,255,96,0,0,0,0,0,255,255,255,255,180,0,0,0,0,0,255,255,255,255,231,17,0,0,0,0,255,255,255,255,251,42,0,0,0,0,255,255,255,255,249,42,0,0,0,0,255,255,255,227,75,3,0,0,0,0,245,201,131,29,0,0,0,0,0,0,192,7,0,0,0,0,0,0,0,0
11,2_L_CC,0,12,0,0,0,6,8,0,0,0,0,215,108,1,0,28,36,0,0,0,0,255,255,147,1,0,0,0,0,0,0,255,255,255,102,0,0,0,0,0,0,255,255,255,236,44,0,0,0,0,0,255,255,255,255,78,0,0,0,0,0,255,255,255,209,8,0,0,0,0,0,255,255,250,74,0,0,0,0,0,0,255,210,79,0,0,0,0,0,0,0,78,13,0,0,0,0,0,0,0,0
12,3_R_CC,1,0,0,10,1,0,0,0,0,0,11,0,0,5,1,0,0,9,91,175,217,0,0,0,0,0,47,201,255,255,255,0,0,0,0,33,226,255,255,255,255,0,0,0,0,134,255,255,255,255,255,0,0,0,0,135,255,255,255,255,255,0,0,0,0,44,244,255,255,255,255,0,0,0,0,0,95,245,255,255,255,0,0,0,0,0,0,53,162,222,241,0,0,0,0,0,0,0,0,15,39
13,3_R_MLO,1,0,0,12,3,0,50,249,251,251,251,0,0,7,2,0,153,255,255,255,255,0,0,0,0,85,254,255,255,255,255,0,0,0,19,223,255,255,255,255,255,0,0,0,94,255,255,255,255,255,255,0,0,0,121,255,255,255,255,255,255,0,0,0,56,244,255,255,255,255,255,0,0,0,0,58,183,247,255,255,255,0,0,0,0,0,0,41,90,115,104,0,0,0,0,0,0,0,0,0,0
14,3_L_MLO,1,251,251,243,65,0,0,0,10,4,0,255,255,255,225,47,0,0,6,2,0,255,255,255,255,215,20,0,0,0,0,255,255,255,255,255,121,0,0,0,0,255,255,255,255,255,186,0,0,0,0,255,255,255,255,255,181,0,0,0,0,255,255,255,255,255,102,0,0,0,0,255,255,255,245,140,4,0,0,0,0,174,125,92,40,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
15,3_L_CC,1,2,0,0,0,0,0,0,7,4,0,200,124,24,0,0,0,0,4,2,0,255,255,224,84,0,0,0,0,0,0,255,255,255,253,89,0,0,0,0,0,255,255,255,255,212,7,0,0,0,0,255,255,255,255,249,36,0,0,0,0,255,255,255,255,226,15,0,0,0,0,255,255,255,255,107,0,0,0,0,0,255,255,218,100,0,0,0,0,0,0,147,89,17,0,0,0,0,0,0,0
